day,month_year,category,class_name,location,time_of_day,duration,month,year
13,"January, 2025",Martial arts,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 00:30:00,January,2025
13,"January, 2025",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,January,2025
11,"January, 2025",Martial arts,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,January,2025
8,"January, 2025",Martial arts,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 00:30:00,January,2025
8,"January, 2025",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,January,2025
7,"January, 2025",Martial arts,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,January,2025
6,"January, 2025",Martial arts,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 00:30:00,January,2025
6,"January, 2025",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,January,2025
21,"December, 2024",Martial arts,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,December,2024
18,"December, 2024",Martial arts,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 00:30:00,December,2024
18,"December, 2024",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,December,2024
16,"December, 2024",Martial arts,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 00:30:00,December,2024
16,"December, 2024",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,December,2024
14,"December, 2024",Martial arts,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,December,2024
11,"December, 2024",Martial arts,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 00:30:00,December,2024
11,"December, 2024",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,December,2024
9,"December, 2024",Martial arts,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 00:30:00,December,2024
9,"December, 2024",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,December,2024
7,"December, 2024",Martial arts,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,December,2024
6,"December, 2024",Martial arts,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 00:45:00,December,2024
5,"December, 2024",Martial arts,Striking and Clinching,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,December,2024
4,"December, 2024",Martial arts,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 00:30:00,December,2024
4,"December, 2024",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,December,2024
4,"December, 2024",Martial arts,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 00:30:00,December,2024
4,"December, 2024",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,December,2024
2,"December, 2024",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,December,2024
25,"November, 2024",Martial arts,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 00:30:00,November,2024
25,"November, 2024",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,November,2024
23,"November, 2024",Martial arts,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,November,2024
20,"November, 2024",Martial arts,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 00:30:00,November,2024
20,"November, 2024",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,November,2024
18,"November, 2024",Martial arts,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 00:30:00,November,2024
18,"November, 2024",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,November,2024
15,"November, 2024",Martial arts,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 00:45:00,November,2024
13,"November, 2024",Martial arts,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 00:30:00,November,2024
13,"November, 2024",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,November,2024
11,"November, 2024",Martial arts,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 00:30:00,November,2024
11,"November, 2024",Martial arts,Fighting Foundations,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,November,2024
9,"November, 2024",Martial arts,Sparring,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 01:00:00,November,2024
6,"November, 2024",Martial arts,Fighting Mastery,"Cantu's Self-Defense, LLC. w/ Roy Cantu",Unknown,0 days 00:30:00,November,2024
